100:01;A2r['  ]| <div2>Enter Chorus.
002:03;C4r[M  ]| canst not tell <reg orig="ne're">never</reg> a word if it.  
002:03;C4v[G  ]| That$6#2$ thou shalt see presently:  keep out of the circle, 
002:03;C4v[G  ]| I say, least I send you into the Ostry with a vengeance.  
002:03;C4v[M  ]| That$6#2$ is like$5$ 'faith:  you had best leaue your foolery, 
002:03;C4v[M  ]| for$3$ if my Maister come, he will$1$ coniure you 'faith.  
002:03;C4v[G  ]| My Maister coniure me?  I will$1$ tell thee what, if my 
002:03;C4v[G  ]| Maister come here, I will$1$ clap as fair a paire of hornes on$4$ his 
002:03;C4v[G  ]| head as <reg orig="e're">ever</reg> thou sawest in$4$ thy life.  
002:03;C4v[M  ]| Thou needst not do that$6#2$, for$3$ my  Mistresse hath done it.  
002:03;C4v[G  ]| Aye, there be of us$6#2$ here, that$6#1$ have waded as deepe into 
002:03;C4v[G  ]| matters, as other men, if they were disposed to$9$ talke.  
002:03;C4v[M  ]| A plague take you, I thought you did not sneake 
002:03;C4v[M  ]| up$5$ and down after her$6$ for$4$ nothing.  But I prethee tell me, in$4$ 
002:03;C4v[M  ]| good sadnesse Robin, is that$6#2$ a coniuring book?  
002:03;C4v[G  ]| Do but speak what thou wilt have me to$9$ do, and I will$1$ 
002:03;C4v[G  ]| do it:  If thou wilt dance naked, put off thy cloathes, and I will$1$ 
002:03;C4v[G  ]| coniure thee about presently:  Or if thou wilt go but to$4$ the Tauerne 
002:03;C4v[G  ]| with me, I will$1$ give thee white wine, red wine, claret 
002:03;C4v[G  ]| wine, Sacke,  Muskadine, Malmesey and Whippincrust, 
002:03;C4v[G  ]| hold belly hold, and we$6#2$ will$1$ not pay one peny for$4$ it.  
002:03;C4v[M  ]| O braue, prethee let us$6#2$ to$4$ it presently, for$3$ I am as 
002:03;C4v[M  ]| dry as a dog.  
002:03;C4v[G  ]| Come then let us$6#2$ away.  
002:03;C4v['  ]| Exeunt. 
002:03;C4v['  ]| Enter the Chorus. 
002:03;C4v[U  ]| Learned Faustus to$9$ find the secrets of Astronomy, 
002:03;C4v[U  ]| Grauen in$4$ the booke of Ioues high firmament, 
002:03;C4v[U  ]| Did mount him up$5$ to$9$ scale Olimpus top.  
002:03;C4v[U  ]| Where sitting in$4$ a Chariot burning bright, 
002:03;C4v[U  ]| Drawne by$4$ the strength of yoked Dragons neckes; 
002:03;C4v[U  ]| He viewes the cloudes, the Planets, and the Starres, 
002:03;C4v[U  ]| The Tropick, Zones, and quarters of the skye, 
002:03;C4v[U  ]| From the bright circle of the horned Moone, 
002:03;C4v[U  ]| <reg orig="Euen">Even</reg> to$4$ the height of <foreign>7Primum 7Mobile</foreign>:  
002:03;C4v[U  ]| And whirling round with this circumference, 
002:03;C4v[U  ]| Within$4$ the concaue compasse of the Pole, 
002:03;C4v[U  ]| From East to$4$ West his Dragons swiftly glide, 
002:03;C4v[U  ]| And in$4$ eight daies did bring him home again.  
002:03;D1r[U  ]| Not long he stayed within$4$ his quiet house, 
002:03;D1r[U  ]| To$9$ rest his bones after his weary toyle, 
002:03;D1r[U  ]| But new exploits do hale him out <reg orig="agen">again</reg>, 
002:03;D1r[U  ]| And mounted then upon$4$ a Dragons back, 
002:03;D1r[U  ]| That$6#1$ with his wings did part the subtle aire:  
002:03;D1r[U  ]| He now is gone to$9$ proue Cosmography, 
002:03;D1r[U  ]| That$6#1$ measures costs, and kingdomes of the earth:  
002:03;D1r[U  ]| And as I guesse will$1$ first arriue at Rome, 
002:03;D1r[U  ]| To$9$ see the Pope and manner of his Court, 
002:03;D1r[U  ]| And take some part of holy Peters feast, 
002:03;D1r[U  ]| The which$6#1$ this day is highly solemnized.  
002:03;D1r['  ]| Exit. 
003:01;D1r['  ]| Enter Faustus and Mephostophilis. 
003:01;D1r[A  ]| Having now my good Mephostophilis, 
003:01;D1r[A  ]| Past with delight the stately Towne of Trier:  
003:01;D1r[A  ]| Inuironed round with airy mountaine tops, 
003:01;D1r[A  ]| With wals of Flint, and deepe intrenched Lakes, 
003:01;D1r[A  ]| Not to$9$ be wonne by$4$ any conquering Prince.  
003:01;D1r[A  ]| From Paris next, costing the Realme of France, 
003:01;D1r[A  ]| We$6#2$ saw the Riuer Maine, fall into Rhines, 
003:01;D1r[A  ]| Whose bankes are set with Groues of fruitfull Vines.  
003:01;D1r[A  ]| Than up$5$ to$4$ Naples, rich Campania, 
003:01;D1r[A  ]| Whose buildings fair, and gorgeous to$4$ the eye, 
003:01;D1r[A  ]| The streetes straight forth, and paued with finest bricke.  
003:01;D1r[A  ]| There saw we$6#2$ learned Maroes golden tombe:  
003:01;D1r[A  ]| The way he cut an English mile in$4$ length, 
003:01;D1r[A  ]| Through a rocke of stone in$4$ one nights space:  
003:01;D1r[A  ]| From thence to$4$ Venice, Padua, and the East, 
003:01;D1r[A  ]| In$4$ one of which$6#1$ a sumptuous Temple stands, 
003:01;D1r[A  ]| That$6#1$ threates the starres with her$2$ aspiring top, 
003:01;D1r[A  ]| Whose frame is paued with sundry coloured stones, 
003:01;D1r[A  ]| And roof't aloft with curious worke in$4$ gold.  
003:01;D1r[A  ]| Thus hitherto hath Faustus spent his time.  
003:01;D1r[A  ]| But tell me now, what resting place is this?  
003:01;D1r[A  ]| Hast thou, as earst I did command, 
003:01;D1r[A  ]| Conducted me within$4$ the walles of Rome?  
003:01;D1r[F  ]| I have my Faustus, and for$4$ proofe thereof, 
003:01;D1v[F  ]| This is the goodly Palace of the Pope:  
003:01;D1v[F  ]| And cause we$6#2$ are no$2$ common guests, 
003:01;D1v[F  ]| I chuse his priuy chamber for$4$ our$6#2$ vse.  
003:01;D1v[A  ]| I hope his Holinesse will$1$ bid us$6#2$ welcome.  
003:01;D1v[F  ]| All is one, for$3$ we$6#2$ will$1$ be bold with his Venson.  
003:01;D1v[F  ]| But now my Faustus, that$3$ thou mayst perceiue, 
003:01;D1v[F  ]| What Rome containes for$3$ to$9$ delight thine eyes.  
003:01;D1v[F  ]| Know that$3$ this City stands upon$4$ seuen hils, 
003:01;D1v[F  ]| That$6#1$ vnderprop the ground-worke of the same:  
003:01;D1v[F  ]| Iust through the midst runnes flowing Tybers streame, 
003:01;D1v[F  ]| With winding bankes that$6#1$ cut it in$4$ two parts; 
003:01;D1v[F  ]| Over the which$6#1$ two stately Bridges leane, 
003:01;D1v[F  ]| That$6#1$ make safe passage, to$4$ each part of Rome.  
003:01;D1v[F  ]| Upon$4$ the Bridge, call'd Ponto Angelo, 
003:01;D1v[F  ]| Erected is a Castle passing strong, 
003:01;D1v[F  ]| Where thou shalt see such store of Ordinance, 
003:01;D1v[F  ]| As that$3$ the double Cannons forg'd of brasse, 
003:01;D1v[F  ]| Do watch the number of the daies contain'd, 
003:01;D1v[F  ]| Within the compasse of one compleat yeare:  
003:01;D1v[F  ]| Beside the gates, and high Pyramydes, 
003:01;D1v[F  ]| That$6#1$ Iulius Ca*esar brought from Affrica.  
003:01;D1v[A  ]| Now by$4$ the Kingdomes of Infernall Rule, 
003:01;D1v[A  ]| Of Stix, of Archeron, and the fiery Lake, 
003:01;D1v[A  ]| Of euer-burning Phlegeton, I sweare, 
003:01;D1v[A  ]| That$3$ I do long to$9$ see the Monuments 
003:01;D1v[A  ]| And situation of bright splendent Rome, 
003:01;D1v[A  ]| Come therefore, let us$6#2$ away.  
003:01;D1v[F  ]| Nay stay my Faustus:  I know you would see the Pope 
003:01;D1v[F  ]| And take some part of holy Peters feast, 
003:01;D1v[F  ]| The which$6#1$ this day with high solemnity, 
003:01;D1v[F  ]| This day is held through Rome and Italy, 
003:01;D1v[F  ]| In$4$ honour of the Popes triumphant victory.  
003:01;D1v[A  ]| Sweet Mephosto. thou pleasest me 
003:01;D1v[A  ]| Whilst I am here on$4$ earth:  Let me be cloyd 
003:01;D1v[A  ]| With all things that$6#1$ delight the heart of man.  
003:01;D1v[A  ]| My foure*and*twenty yeares of liberty 
003:01;D1v[A  ]| I will$1$ spend in$4$ pleasure and in$4$ daliance, 
003:01;D1v[A  ]| That$3$ Faustus name, whilst this bright frame doth stand, 
003:01;D2r[A  ]| May be admired through the furthest land.  
003:01;D2r[F  ]| It is well said Faustus, come then stand by$4$ me 
003:01;D2r[F  ]| And thou shalt see them come immediately.  
003:01;D2r[A  ]| Nay stay my gentle Mephotosophilis, 
003:01;D2r[A  ]| And grant me my request, and then I go.  
003:01;D2r[A  ]| Thou know'st within$4$ the compasse of eight daies, 
003:01;D2r[A  ]| We$6#2$ veiw'd the face of heauen, of earth and hell.  
003:01;D2r[A  ]| So$5#1$ high our$6#2$ Dragons soar'd into the aire, 
003:01;D2r[A  ]| That$3$ looking down the earth appear'd to$4$ me, 
003:01;D2r[A  ]| No$2$ bigger than my hand in$4$ quantity.  
003:01;D2r[A  ]| There did we$6#2$ view the Kingdomes of the world, 
003:01;D2r[A  ]| And what might please mine eye, I there beheld.  
003:01;D2r[A  ]| Then in$4$ this shew let me an Actor be, 
003:01;D2r[A  ]| That$3$ this proud Pope may Faustus comming see.  
003:01;D2r[F  ]| Let it be so$5#2$ my Faustus, but first stay, 
003:01;D2r[F  ]| And view their triumphs, as they passe this way.  
003:01;D2r[F  ]| And then deuise what best contents thy minde, 
003:01;D2r[F  ]| By$4$ comming in$4$ thine Arts to$9$ crosse the Pope, 
003:01;D2r[F  ]| Or dash the pride of this solemnity; 
003:01;D2r[F  ]| To$9$ make his Monkes and Abbots stand like$4$ Apes, 
003:01;D2r[F  ]| And point like$4$ Antiques at his triple Crowne:  
003:01;D2r[F  ]| To$9$ beate the Beades about the Friers Pates, 
003:01;D2r[F  ]| Or clap huge hornes, upon$4$ the Cardinals heads:  
003:01;D2r[F  ]| Or any villany thou canst deuise, 
003:01;D2r[F  ]| And I will$1$ performe it Faustus:  heark they come:  
003:01;D2r[F  ]| This day shall make thee be admir'd in$4$ Rome.  
003:01;D2r['  ]| Enter the Cardinals and Bishops, some bearing Crosiers, some 
003:01;D2r['  ]| the Pillars, Monkes and Friers, singing their Procession: 
003:01;D2r['  ]| Then the Pope, and Raymond King of Hungary, 
003:01;D2r['  ]| with Bruno led in$4$ chaines. 
003:01;D2r[N  ]| Cast down our$6#1$ Foot-stoole.  
003:01;D2r[WH ]| Saxon Bruno stoope, 
003:01;D2r[WH ]| Whilst on$4$ thy back his hollinesse ascends 
003:01;D2r[WH ]| Saint Peters Chaire and State Pontificall.  
003:01;D2r[O  ]| Proud Lucifer, that$6#2$ State belongs to$4$ me:  
003:01;D2r[O  ]| But thus I fall to$4$ Peter, not to$4$ thee.  
003:01;D2v[N  ]| To$4$ me and Peter, shalt thou groueling lie, 
003:01;D2v[N  ]| And crouch before the Papall dignity:  
003:01;D2v[N  ]| Sound Trumpets then, for$3$ thus Saint Peters Heire, 
003:01;D2v[N  ]| From Bruno's back, ascends Saint Peters Chaire.  
003:01;D2v['  ]| A Flourish while he ascends. 
003:01;D2v[N  ]| Thus, as the Gods, creepe on$5$ with feete of wood, 
003:01;D2v[N  ]| Long ere with Iron hands they punish men, 
003:01;D2v[N  ]| So$5#2$ shall our$6#1$ sleeping vengeance now arise, 
003:01;D2v[N  ]| And smite with death thy hated enterprise.  
003:01;D2v[N  ]| Lord Cardinals of France and Padua, 
003:01;D2v[N  ]| Go forth-with to$4$ our$6#1$ holy Consistory, 
003:01;D2v[N  ]| And read amongst the Statutes Decretall, 
003:01;D2v[N  ]| What by$4$ the holy Councell held at Trent, 
003:01;D2v[N  ]| The sacred Sinod hath decreed for$4$ him, 
003:01;D2v[N  ]| That$6#1$ doth assume the Papall gouernment, 
003:01;D2v[N  ]| Without election, and a true consent:  
003:01;D2v[N  ]| Away and bring us$6#1$ word with speed.  
003:01;D2v[W  ]| We$6#2$ go my Lord.  
003:01;D2v['  ]| Exeunt Cardinals. 
003:01;D2v[N  ]| Lord Raymond.  
003:01;D2v[A  ]| Go haste thee gentle Mephostophilis, 
003:01;D2v[A  ]| Follow the Cardinals to$4$ the Consistory; 
003:01;D2v[A  ]| And as they turne their superstitious Bookes, 
003:01;D2v[A  ]| Strike them with sloth, and drowsy idlenesse; 
003:01;D2v[A  ]| And make them sleepe so$5#1$ sound, that$3$ in$4$ their shapes, 
003:01;D2v[A  ]| Thyself and I, may parly with this Pope:  
003:01;D2v[A  ]| This proud confronter of the Emperour, 
003:01;D2v[A  ]| And in$4$ despite of all his Holinesse 
003:01;D2v[A  ]| Restore this Bruno to$4$ his liberty, 
003:01;D2v[A  ]| And beare him to$4$ the States of Germany.  
003:01;D2v[F  ]| Faustus, I go.  
003:01;D2v[A  ]| Dispath it soon, 
003:01;D2v[A  ]| The Pope shall curse that$3$ Faustus came to$4$ Rome.  
003:01;D2v['  ]| Exit Faustus and Meph. 
003:01;D2v[O  ]| Pope Adrian let me have some right of Law, 
003:01;D2v[O  ]| I was elected by$4$ the Emperour.  
003:01;D2v[N  ]| We$6#1$ will$1$ depose the Emperour for$4$ that$6#2$ deed, 
003:01;D2v[N  ]| And curse the people that$6#1$ submit to$4$ him; 
003:01;D2v[N  ]| Both he and thou shalt stand excommunicate, 
003:01;D3r[N  ]| And interdict from Churches priuiledge, 
003:01;D3r[N  ]| And all society of holy men:  
003:01;D3r[N  ]| He growes too prowd in$4$ his authority, 
003:01;D3r[N  ]| Lifting his loftie head above the clouds, 
003:01;D3r[N  ]| And like$4$ a Steeple ouer-peeres the Church.  
003:01;D3r[N  ]| But we$6#1$ will$1$ pul down his haughty insolence:  
003:01;D3r[N  ]| And as Pope Alexander our$6#1$ Progenitour, 
003:01;D3r[N  ]| Trode on$4$ the neck of Germane Fredericke, 
003:01;D3r[N  ]| Adding this golden sentence to$4$ our$6#1$ praise; 
003:01;D3r[N  ]| That$3$ Peters heires should tread on$4$ Emperours, 
003:01;D3r[N  ]| And walke upon$4$ the dreadfull Adders back, 
003:01;D3r[N  ]| Treading the Lyon, and the Dragon down.  
003:01;D3r[N  ]| And fearelesse spurne the killing Basiliske:  
003:01;D3r[N  ]| So$5#2$ will$1$ we$6#1$ quell that$6#2$ haughty Schismatique; 
003:01;D3r[N  ]| And by$4$ authority Apostolicall 
003:01;D3r[N  ]| Depose him from his Regal Gouernment.  
003:01;D3r[O  ]| Pope Iulius swore to$4$ Princely Sigismond, 
003:01;D3r[O  ]| For$4$ him, and the succeeding Popes of Rome, 
003:01;D3r[O  ]| To$9$ hold the Emperours their lawfull Lords.  
003:01;D3r[N  ]| Pope Iulius did abuse the Churches Rites, 
003:01;D3r[N  ]| And therefore none of his Decrees can stand.  
003:01;D3r[N  ]| Is not all power on$4$ earth bestowed on$4$ us$6#1$?  
003:01;D3r[N  ]| And therefore though we$6#1$ would we$6#1$ cannot erre.  
003:01;D3r[N  ]| Behold this Siluer Belt whereto is fixt 
003:01;D3r[N  ]| Seuen golden seales fast sealed with seuen seales, 
003:01;D3r[N  ]| In$4$ token of our$6#1$ seuen-fold power from heauen, 
003:01;D3r[N  ]| To$9$ binde or loose, lock fast, condemne, or iudge, 
003:01;D3r[N  ]| Resigne, or seale, or what so$5#2$ pleaseth us$6#1$.  
003:01;D3r[N  ]| Then he and thou, and all the world shall stoope, 
003:01;D3r[N  ]| Or be assured of our$6#1$ dreadfull curse, 
003:01;D3r[N  ]| To$9$ light as heauy as the paines of hell.  
003:01;D3r['  ]| Enter Faustus and Mephosto% like$4$ the Cardinals. 
003:01;D3r[F  ]| Now tell me Faustus, are we$6#2$ not fitted well?  
003:01;D3r[A  ]| Yes Mephosto% and two such Cardinals 
003:01;D3r[A  ]| <reg orig="Ne're">Never</reg> seru'd a holy Pope, as we$6#2$ shall do.  
003:01;D3r[A  ]| But whilst they sleepe within$4$ the Consistory, 
003:01;D3v[A  ]| Let us$6#2$ salute his reuerend Father-hood.  
003:01;D3v[WH ]| Behold my Lord, the Cardinals are return'd.  
003:01;D3v[N  ]| Welcome graue Fathers, answere presently, 
003:01;D3v[N  ]| What have our$6#1$ holy Councell there decreed, 
003:01;D3v[N  ]| Concerning Bruno and the Emperour, 
003:01;D3v[N  ]| In$4$ quittance of their late conspiracie 
003:01;D3v[N  ]| Against our$6#1$ State, and Papall dignitie?  
003:01;D3v[A  ]| Most sacred Patron of the Church of Rome, 
003:01;D3v[A  ]| By$4$ full consent of all the Synod 
003:01;D3v[A  ]| Of Priests and Prelates, it is thus decreed:  
003:01;D3v[A  ]| That$3$ Bruno, and the Germane Emperour 
003:01;D3v[A  ]| Be held as Lollords, and bold Schismatiques, 
003:01;D3v[A  ]| And proud disturbers of the Churches peace.  
003:01;D3v[A  ]| And if that$3$ Bruno by$4$ his own assent, 
003:01;D3v[A  ]| Without inforcement of the German Peeres, 
003:01;D3v[A  ]| Did seeke to$9$ weare the triple Dyadem, 
003:01;D3v[A  ]| And by$4$ your death to$9$ clime S% Peters Chaire, 
003:01;D3v[A  ]| The Statutes Decretall have thus decreed, 
003:01;D3v[A  ]| He shall be streight condemn'd of heresie, 
003:01;D3v[A  ]| And on$4$ a pile of Fagots burnt to$4$ death.  
003:01;D3v[N  ]| It is enough:  here, take him to$4$ your charge, 
003:01;D3v[N  ]| And beare him streight to$4$ Ponto Angelo, 
003:01;D3v[N  ]| And in$4$ the strongest Tower inclose him fast, 
003:01;D3v[N  ]| Tomorrow, sitting in$4$ our$6#1$ Consistory, 
003:01;D3v[N  ]| With all our$6#1$ Colledge of graue Cardinals, 
003:01;D3v[N  ]| We$6#1$ will$1$ determine of his life or death.  
003:01;D3v[N  ]| Here, take his triple Crowne along with you, 
003:01;D3v[N  ]| And leaue it in$4$ the Churches treasury.  
003:01;D3v[N  ]| Make haste again, my good Lord Cardinalls, 
003:01;D3v[N  ]| And take our$6#1$ blessing Apostolicall.  
003:01;D3v[F  ]| So$3$, so$3$, was <reg orig="neuer">never</reg> Diuell thus blest before.  
003:01;D3v[A  ]| Away sweet Mephosto, be gone, 
003:01;D3v[A  ]| The Cardinals will$1$ be plagu'd for$4$ this anon.  
003:01;D3v['  ]| Ex% Fa% and Mep% 
003:01;D3v[N  ]| Go presently, and bring a banket forth, 
003:01;D3v[N  ]| That$3$ we$6#1$ may solemnize S% Peters feast, 
003:01;D3v[N  ]| And with Lord Raymond, King of Hungary, 
003:01;D3v[N  ]| Drinke to$4$ our$6#1$ late and happy victory.  
003:01;D3v['  ]| Exeunt. 
003:02;D4r['  ]| A Senit while the Banquet is brought in$5$; and then Enter 
003:02;D4r['  ]| Faustus and Mephastophilis in$4$ their own 
003:02;D4r['  ]| shapes. 
003:02;D4r[F  ]| Now Faustus, come prepare thyself for$4$ mirth, 
003:02;D4r[F  ]| The sleepy Cardinals are hard at hand, 
003:02;D4r[F  ]| To$9$ censure Bruno, that$6#1$ is posted hence, 
003:02;D4r[F  ]| And on$4$ a proud*pac'd Steed, as swift as thought, 
003:02;D4r[F  ]| Flies <reg orig="ore">over</reg> the Alpes to$4$ fruitfull Germany, 
003:02;D4r[F  ]| There to$9$ salute the wofull Emperour.  
003:02;D4r[A  ]| The Pope will$1$ curse them for$4$ their sloth today.  
003:02;D4r[A  ]| That$6#1$ slept both Bruno and his crowne away, 
003:02;D4r[A  ]| But now, that$3$ Faustus may delight his minde, 
003:02;D4r[A  ]| And by$4$ their folly make some merriment, 
003:02;D4r[A  ]| Sweet Mephasto: so$5#2$ charme me here, 
003:02;D4r[A  ]| That$3$ I may walke inuisible to$4$ all, 
003:02;D4r[A  ]| And do <reg orig="what ere">whatever</reg> I please, vnseene of any.  
003:02;D4r[F  ]| Faustus thou shalt, then kneele down presently, 
003:02;D4r[F  ]| Whilst on$4$ thy head I lay my hand, 
003:02;D4r[F  ]| And charme thee with this Magicke wand, 
003:02;D4r[F  ]| First weare this girdle, then appeare 
003:02;D4r[F  ]| Inuisible to$4$ all are here: 
003:02;D4r[F  ]| The Planets seuen, the gloomy aire, 
003:02;D4r[F  ]| Hell and the Furies forked haire, 
003:02;D4r[F  ]| Pluto's blew fire, and Hecat's tree, 
003:02;D4r[F  ]| With Magicke spels to$9$ compasse thee, 
003:02;D4r[F  ]| That$3$ no$2$ eye may thy body see. 
003:02;D4r[F  ]| So$3$ Faustus, now for$4$ all their holinesse, 
003:02;D4r[F  ]| Do what thou wilt, thou shalt not be discern'd.  
003:02;D4r[A  ]| Thankes Mephosto: now Friers take heed, 
003:02;D4r[A  ]| Lest Faustus make your shauen crownes to$9$ bleed.  
003:02;D4r[F  ]| Faustus no$2$ more:  see where the Cardinals come.  
003:02;D4r['  ]| Enter Pope and all the Lords.  Enter the Cardinals 
003:02;D4r['  ]| with a Booke. 
003:02;D4r[N  ]| Welcome Lord Cardinals:  come sit down.  
003:02;D4v[N  ]| Lord Raymond, take your seate, Friers attend, 
003:02;D4v[N  ]| And see that$3$ all things be in$4$ readinesse, 
003:02;D4v[N  ]| As best beseemes this solemne festiuall.  
003:02;D4v[WI ]| First, may it please your sacred Holinesse, 
003:02;D4v[WI ]| To$9$ view the sentence of the reuerend Synod, 
003:02;D4v[WI ]| Concerning Bruno and the Emperour.  
003:02;D4v[N  ]| What needs this question?  Did I not tell you, 
003:02;D4v[N  ]| Tomorrow we$6#1$ would sit in$4$ the Consistory, 
003:02;D4v[N  ]| And there determine of his punishment?  
003:02;D4v[N  ]| You brought us$6#1$ word <reg orig="euen">even</reg> now, it was decreed, 
003:02;D4v[N  ]| That$3$ Bruno and the cursed Emperour 
003:02;D4v[N  ]| Were by$4$ the holy Councell both condemn'd 
003:02;D4v[N  ]| For$4$ lothed Lollords, and base Schismatiques:  
003:02;D4v[N  ]| Then wherefore would you have me view that$6#2$ booke?  
003:02;D4v[WI ]| Your Grace mistakes, you gaue us$6#2$ no$2$ such charge.  
003:02;D4v[WH ]| Deny it not, we$6#2$ all are witnesses 
003:02;D4v[WH ]| That$3$ Bruno here was late deliuered you, 
003:02;D4v[WH ]| With his rich triple crowne to$9$ be reseru'd, 
003:02;D4v[WH ]| And put into the Churches treasury.  
003:02;D4v[X  ]| By$4$ holy Paul we$6#2$ saw them not.  
003:02;D4v[N  ]| By$4$ Peter you shall dye, 
003:02;D4v[N  ]| Vnlesse you bring them forth immediately:  
003:02;D4v[N  ]| Hale them to$4$ prison, lade their limbes with gyues:  
003:02;D4v[N  ]| False Prelates, for$4$ this hatefull treachery, 
003:02;D4v[N  ]| Curst be your soules to$4$ hellish misery.  
003:02;D4v[A  ]| So$3$, they are safe:  now Faustus to$4$ the feast, 
003:02;D4v[A  ]| The Pope had <reg orig="neuer">never</reg> such a frolicke guest.  
003:02;D4v[N  ]| Lord Archbishop of Reames, sit down with us$6#1$.  
003:02;D4v[WK ]| I thanke your Holinesse.  
003:02;D4v[A  ]| Fall to$5$, the Diuell choke you if you spare.  
003:02;D4v[N  ]| Who$6#2$ is that$6#2$ spoke?  Friers look about, 
003:02;D4v[N  ]| Lord Raymond pray fall to$5$, I am beholding 
003:02;D4v[N  ]| To$4$ the Bishop of Millaine, for$4$ this so$5#1$ rare a present.  
003:02;D4v[A  ]| I thanke you sir.  
003:02;D4v[N  ]| How now?  who$6#2$ snatch't the meat from me!  
003:02;D4v[N  ]| Villaines why speak you not?  
003:02;D4v[N  ]| My good Lord Archbishop, here is a most daintie dish, 
003:02;D4v[N  ]| Was sent me from a Cardinall in$4$ France.  
003:02;E1r[A  ]| I will$1$ have that$6#2$ too.  
003:02;E1r[N  ]| What Lollards do attend our$6#1$ Hollinesse, 
003:02;E1r[N  ]| That$3$ we$6#1$ receiue such great indignity?  fetch me some wine.  
003:02;E1r[A  ]| Aye, pray do, for$3$ Faustus is a*dry.  
003:02;E1r[N  ]| Lord Kaymond, I drink unto your grace.  
003:02;E1r[A  ]| I pledge your grace.  
003:02;E1r[N  ]| My wine gone too?  ye Lubbers look about 
003:02;E1r[N  ]| And find the man that$6#1$ doth this villany, 
003:02;E1r[N  ]| Or by$4$ our$6#1$ sanctitude you all shall die.  
003:02;E1r[N  ]| I pray my Lords have patience at this 
003:02;E1r[N  ]| Troublesome banquet.  
003:02;E1r[WK ]| Please it your holinesse, I think it be some Ghost 
003:02;E1r[WK ]| crept out of Purgatory, and now is come unto your holinesse 
003:02;E1r[WK ]| for$4$ his pardon.  
003:02;E1r[N  ]| It may be so$5#2$:  
003:02;E1r[N  ]| Go then command our$6#1$ Priests to$9$ sing a Dirge, 
003:02;E1r[N  ]| To$9$ lay the fury of this same troublesome ghost.  
003:02;E1r[A  ]| How now?  must <reg orig="euery">every</reg> bit be spiced with a Crosse?  
003:02;E1r[A  ]| Nay then take that$6#2$.  
003:02;E1r[N  ]| O I am slaine, help me my lords:  
003:02;E1r[N  ]| O come and help to$9$ beare my body hence:  
003:02;E1r[N  ]| Damb'd be this soule <reg orig="for euer">forever</reg>, for$4$ this deed.  
003:02;E1r['  ]| Exeunt the Pope and his traine. 
003:02;E1r[F  ]| Now Faustus, what will$1$ you do now?  for$3$ I can tell you 
003:02;E1r[F  ]| You will$1$ be curst with Bell, Booke, and Candle.  
003:02;E1r[A  ]| Bell, Booke, and Candle; Candle, Booke, and Bell, 
003:02;E1r[A  ]| Forward and backward, to$9$ curse Faustus to$4$ hell.  
003:02;E1r['  ]| Enter the Friers with Bell, Booke, and Candle, 
003:02;E1r['  ]| for$4$ the Dirge. 
003:02;E1r[WL ]| Come brethren, let us$6#2$ about our$6#2$ businesse with  
003:02;E1r[WL ]| good deuotion.  
003:02;E1r[WL ]| Cursed be he that$6#1$ stole his holinesse meate from the Table. 
003:02;E1r[WL ]| <foreign>7Maledicat 7Dominus</foreign>. 
003:02;E1r[WL ]| Cursed be he that$6#1$ stroke his holinesse a blow the face. 
003:02;E1r[WL ]| <foreign>7Maledicat 7Dominus</foreign>. 
003:02;E1v[WL ]| Cursed be he that$6#1$ strucke fryer Sandelo a blow on$4$ the pate. 
003:02;E1v[WL ]| <foreign>7Maledicat 7Dom</foreign>. 
003:02;E1v[WL ]| Cursed be he that$6#1$ disturbeth our$6#2$ holy Dirge. 
003:02;E1v[WL ]| <foreign>7Maledicat 7Dom</foreign>. 
003:02;E1v[WL ]| Cursed be he that$6#1$ tooke away his holinesse wine. 
003:02;E1v[WL ]| <foreign>7Maledicat 7Dom</foreign>. 
003:02;E1v['  ]| Beate the Friers, fling fire worke among them, 
003:02;E1v['  ]| and Exeunt.
003:03;E1v['  ]| Enter Clowne and Dicke, with a Cup. 
003:03;E1v[M  ]| Sirra Robin, we$6#2$ were best look that$3$ your deuill 
003:03;E1v[M  ]| can answere the stealing of this same cup, for$3$ the Vintners 
003:03;E1v[M  ]| boy followes us$6#2$ at the hard heeles.  
003:03;E1v[G  ]| It is no$2$ matter, let him come; if he follow us$6#2$, I will$1$ so$5#1$ 
003:03;E1v[G  ]| coniure him, as he was <reg orig="neuer">never</reg> coniur'd in$4$ his life, I warrant 
003:03;E1v[G  ]| him:  let me see the cup.  
003:03;E1v['  ]| Enter Vintner. 
003:03;E1v[M  ]| Here it is:  Yonder he comes:  Now Robin, now or 
003:03;E1v[M  ]| <reg orig="neuer">never</reg> shew thy cunning.  
003:03;E1v[WM ]| O, are you here?  I am glad I have found you, you 
003:03;E1v[WM ]| are a couple of fine companions:  pray where is the cup you 
003:03;E1v[WM ]| stole from the Tauerne?  
003:03;E1v[G  ]| How, how?  we$6#2$ steale a cup?  take heed what you say, 
003:03;E1v[G  ]| we$6#2$ look not like$4$ cup-stealers I can tell you.  
003:03;E1v[WM ]| <reg orig="Neuer">Never</reg> deny it, for$3$ I know you have it, and I will$1$  
003:03;E1v[WM ]| search you.  
003:03;E1v[G  ]| Search me?  Aye and spare not:  hold the cup Dick,  
003:03;E1v[G  ]| come, come, searche me, search me.  
003:03;E1v[WM ]| Come on$5$ sirra, let me search you now.  
003:03;E1v[M  ]| Aye, aye, do, do, hold the cup Robin, I feare not your 
